time,no,name,lon,lat,humidity,t2mm,t2mmMin,t2mmMax
20181124111000,59097,新丰观测站,114.20,24.05,81,16.9,16.9,17.1
20181124111000,57989,仁化观测站,113.73,25.10,93,15.2,15.2,15.3
20181124111000,59090,始兴观测站,114.06,24.95,76,17.1,17.1,17.5
20181124111000,59082,曲江观测站,113.60,24.67,90,15.7,15.7,15.7
20181124111000,57988,乐昌观测站,113.35,25.15,75,17,16.9,17
20181124111000,57996,南雄观测站,114.31,25.13,81,16.2,16.2,16.4
20181124111000,59081,乳源观测站,113.26,24.78,85,15.9,15.9,16
20181124111000,59094,翁源观测站,114.11,24.36,80,17.2,17.2,17.5
20181124111000,G4405,浈江区十里亭镇十里亭,113.56,24.8292,9999,17,17,17.2
20181124111000,G1401,市气象局,113.5572,24.7975,84,15.9,15.9,16
