time,no,name,lon,lat,humidity,t2mm,t2mmMin,t2mmMax
20181124121000,59097,新丰观测站,114.20,24.05,86,16.2,16.2,16.3
20181124121000,57989,仁化观测站,113.73,25.10,97,14.4,14.4,14.5
20181124121000,59090,始兴观测站,114.06,24.95,84,15.9,15.9,16.1
20181124121000,59082,曲江观测站,113.60,24.67,92,15.3,15.3,15.4
20181124121000,57988,乐昌观测站,113.35,25.15,77,16.6,16.6,16.7
20181124121000,57996,南雄观测站,114.31,25.13,84,15.3,15.3,15.4
20181124121000,59081,乳源观测站,113.26,24.78,89,15.5,15.4,15.5
20181124121000,59094,翁源观测站,114.11,24.36,83,16.3,16.3,16.3
20181124121000,G4405,浈江区十里亭镇十里亭,113.56,24.8292,9999,16.5,16.5,16.8
20181124121000,G1401,市气象局,113.5572,24.7975,81,16.4,16.2,16.4
