time,no,name,lon,lat,humidity,t2mm,t2mmMin,t2mmMax
20181124104000,59097,新丰观测站,114.20,24.05,79,17.4,17.4,18.8
20181124104000,57989,仁化观测站,113.73,25.10,93,15.7,15.7,17.2
20181124104000,59090,始兴观测站,114.06,24.95,74,17.8,17.8,18.7
20181124104000,59082,曲江观测站,113.60,24.67,88,16.1,16.1,17.4
20181124104000,57988,乐昌观测站,113.35,25.15,77,17,17,18
20181124104000,57996,南雄观测站,114.31,25.13,75,17,17,18.6
20181124104000,59081,乳源观测站,113.26,24.78,81,16.6,16.6,17.5
20181124104000,59094,翁源观测站,114.11,24.36,78,17.7,17.6,19.6
20181124104000,G4405,浈江区十里亭镇十里亭,113.56,24.8292,9999,17.7,17.7,19.1
20181124104000,G1401,市气象局,113.5572,24.7975,79,16.4,16.4,17.3
