time,no,name,lon,lat,humidity,t2mm,t2mmMin,t2mmMax
20181124103500,59097,新丰观测站,114.20,24.05,79,17.6,17.6,18.8
20181124103500,57989,仁化观测站,113.73,25.10,91,15.9,15.9,17.2
20181124103500,59090,始兴观测站,114.06,24.95,74,17.9,17.9,18.7
20181124103500,59082,曲江观测站,113.60,24.67,87,16.2,16.2,17.4
20181124103500,57988,乐昌观测站,113.35,25.15,77,17,17,18
20181124103500,57996,南雄观测站,114.31,25.13,74,17.2,17.2,18.6
20181124103500,59081,乳源观测站,113.26,24.78,80,17,17,17.5
20181124103500,59094,翁源观测站,114.11,24.36,79,17.8,17.6,19.6
20181124103500,G4405,浈江区十里亭镇十里亭,113.56,24.8292,9999,17.8,17.8,19.1
20181124103500,G1401,市气象局,113.5572,24.7975,78,16.5,16.5,17.3
