time,no,name,lon,lat,humidity,t2mm,t2mmMin,t2mmMax
20181124101500,59097,新丰观测站,114.20,24.05,75,18.4,18.4,18.8
20181124101500,57989,仁化观测站,113.73,25.10,86,16.7,16.7,17.2
20181124101500,59090,始兴观测站,114.06,24.95,71,18.5,18.5,18.7
20181124101500,59082,曲江观测站,113.60,24.67,83,16.9,16.9,17.4
20181124101500,57988,乐昌观测站,113.35,25.15,73,17.6,17.6,18
20181124101500,57996,南雄观测站,114.31,25.13,69,17.8,17.8,18.6
20181124101500,59081,乳源观测站,113.26,24.78,77,17.3,17.2,17.5
20181124101500,59094,翁源观测站,114.11,24.36,81,17.9,17.9,19.6
20181124101500,G4405,浈江区十里亭镇十里亭,113.56,24.8292,9999,18.5,18.5,19.1
20181124101500,G1401,市气象局,113.5572,24.7975,77,16.9,16.9,17.3
