time,no,name,lon,lat,humidity,t2mm,t2mmMin,t2mmMax
20181124105000,59097,新丰观测站,114.20,24.05,80,17.3,17.3,18.8
20181124105000,57989,仁化观测站,113.73,25.10,92,15.4,15.4,17.2
20181124105000,59090,始兴观测站,114.06,24.95,73,17.6,17.6,18.7
20181124105000,59082,曲江观测站,113.60,24.67,89,15.8,15.8,17.4
20181124105000,57988,乐昌观测站,113.35,25.15,78,16.8,16.8,18
20181124105000,57996,南雄观测站,114.31,25.13,79,16.8,16.8,18.6
20181124105000,59081,乳源观测站,113.26,24.78,83,16.2,16.2,17.5
20181124105000,59094,翁源观测站,114.11,24.36,77,17.5,17.5,19.6
20181124105000,G4405,浈江区十里亭镇十里亭,113.56,24.8292,9999,17.5,17.4,19.1
20181124105000,G1401,市气象局,113.5572,24.7975,81,16.3,16.3,17.3
