time,no,name,lon,lat,humidity,t2mm,t2mmMin,t2mmMax
20181124103000,59097,新丰观测站,114.20,24.05,78,17.9,17.9,18.8
20181124103000,57989,仁化观测站,113.73,25.10,88,15.9,15.9,17.2
20181124103000,59090,始兴观测站,114.06,24.95,73,17.9,17.9,18.7
20181124103000,59082,曲江观测站,113.60,24.67,86,16.4,16.4,17.4
20181124103000,57988,乐昌观测站,113.35,25.15,76,17.1,17.1,18
20181124103000,57996,南雄观测站,114.31,25.13,73,17.3,17.3,18.6
20181124103000,59081,乳源观测站,113.26,24.78,77,17.2,17.2,17.5
20181124103000,59094,翁源观测站,114.11,24.36,78,17.8,17.6,19.6
20181124103000,G4405,浈江区十里亭镇十里亭,113.56,24.8292,9999,18,17.9,19.1
20181124103000,G1401,市气象局,113.5572,24.7975,78,16.6,16.6,17.3
