time,no,name,lon,lat,humidity,t2mm,t2mmMin,t2mmMax
20181124110500,59097,新丰观测站,114.20,24.05,81,17,17,17.1
20181124110500,57989,仁化观测站,113.73,25.10,92,15.2,15.2,15.3
20181124110500,59090,始兴观测站,114.06,24.95,76,17.3,17.3,17.5
20181124110500,59082,曲江观测站,113.60,24.67,90,15.7,15.7,15.7
20181124110500,57988,乐昌观测站,113.35,25.15,76,16.9,16.9,17
20181124110500,57996,南雄观测站,114.31,25.13,82,16.3,16.3,16.4
20181124110500,59081,乳源观测站,113.26,24.78,84,16,16,16
20181124110500,59094,翁源观测站,114.11,24.36,78,17.4,17.4,17.5
20181124110500,G4405,浈江区十里亭镇十里亭,113.56,24.8292,9999,17.1,17.1,17.2
20181124110500,G1401,市气象局,113.5572,24.7975,83,16,16,16
